year,Date,Month,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_rate,grade,installment,region,loan_condition
2011,1,12,3.0,RENT,Low,43370,20250, 60 months,INDIVIDUAL,debt_consolidation,15.27,C,484.63,munster,Good Loan
2011,1,12,10.0,OWN,Low,50000,10000, 36 months,INDIVIDUAL,credit_card,11.71,B,330.76,munster,Good Loan
2011,1,12,5.0,RENT,Low,50000,10000, 36 months,INDIVIDUAL,debt_consolidation,11.71,B,330.76,ulster,Good Loan
2011,1,12,2.0,MORTGAGE,Low,92000,15000, 36 months,INDIVIDUAL,credit_card,9.91,B,483.38,cannught,Good Loan
2011,1,12,10.0,MORTGAGE,Medium,106000,4000, 36 months,INDIVIDUAL,debt_consolidation,11.71,B,132.31,leinster,Good Loan
2011,1,12,0.5,RENT,Low,25000,8500, 36 months,INDIVIDUAL,credit_card,11.71,B,281.15,cannught,Good Loan
2011,1,12,7.0,MORTGAGE,Low,17108,4375, 36 months,INDIVIDUAL,debt_consolidation,7.51,A,136.11,Northern-Irl,Good Loan
2011,1,12,5.0,MORTGAGE,Low,75000,31825, 36 months,INDIVIDUAL,debt_consolidation,7.9,A,995.82,Northern-Irl,Good Loan
2011,1,12,2.0,RENT,Low,29120,10000, 60 months,INDIVIDUAL,debt_consolidation,15.96,C,242.97,leinster,Good Loan
2011,1,12,2.0,RENT,Low,24044,5000, 36 months,INDIVIDUAL,debt_consolidation,8.9,A,158.77,ulster,Good Loan
2011,1,12,7.0,RENT,Low,34000,7000, 36 months,INDIVIDUAL,credit_card,15.96,C,245.97,ulster,Good Loan
2011,1,12,10.0,RENT,Low,41000,12400, 36 months,INDIVIDUAL,credit_card,10.65,B,403.91,leinster,Good Loan
2011,1,12,2.0,RENT,Low,55596,10800, 36 months,INDIVIDUAL,moving,9.91,B,348.03,ulster,Good Loan
2011,1,12,1.0,RENT,Low,45000,15000, 36 months,INDIVIDUAL,debt_consolidation,7.9,A,469.36,cannught,Good Loan
2011,1,12,1.0,RENT,Low,36852,6000, 36 months,INDIVIDUAL,debt_consolidation,12.42,B,200.5,munster,Good Loan
2011,1,12,1.0,RENT,Low,27000,12500, 60 months,INDIVIDUAL,debt_consolidation,12.69,B,282.44,cannught,Good Loan
2011,1,12,4.0,RENT,Low,68004,9600, 36 months,INDIVIDUAL,other,7.51,A,298.67,leinster,Good Loan
2011,1,12,10.0,RENT,Low,62300,12000, 36 months,INDIVIDUAL,debt_consolidation,7.9,A,375.49,Northern-Irl,Good Loan
2011,1,12,9.0,MORTGAGE,Low,65000,3000, 36 months,INDIVIDUAL,other,18.25,D,108.84,Northern-Irl,Good Loan
2011,1,12,10.0,RENT,Low,55000,4400, 36 months,INDIVIDUAL,debt_consolidation,16.77,D,156.37,Northern-Irl,Good Loan
2011,1,12,10.0,MORTGAGE,Low,45600,6000, 36 months,INDIVIDUAL,debt_consolidation,6.03,A,182.62,leinster,Good Loan
2011,1,12,6.0,RENT,Low,80000,14000, 36 months,INDIVIDUAL,small_business,9.91,B,451.15,Northern-Irl,Good Loan
2011,1,12,6.0,RENT,Low,27000,10000, 36 months,INDIVIDUAL,other,10.65,B,325.74,Northern-Irl,Good Loan
2011,1,12,10.0,RENT,Low,60000,10000, 36 months,INDIVIDUAL,credit_card,6.03,A,304.36,Northern-Irl,Good Loan
2011,1,12,5.0,RENT,Low,70000,11000, 36 months,INDIVIDUAL,debt_consolidation,6.62,A,337.75,Northern-Irl,Good Loan
2011,1,12,9.0,RENT,Medium,110000,25600, 36 months,INDIVIDUAL,credit_card,9.91,B,824.96,ulster,Good Loan
2011,1,12,0.5,RENT,Low,40000,7000, 36 months,INDIVIDUAL,debt_consolidation,10.65,B,228.02,ulster,Good Loan
2011,1,12,1.0,RENT,Low,46000,12000, 36 months,INDIVIDUAL,credit_card,9.91,B,386.7,munster,Good Loan
2011,1,12,7.0,RENT,Low,81000,16000, 60 months,INDIVIDUAL,credit_card,19.91,E,423.11,Northern-Irl,Good Loan
2011,1,12,0.5,OWN,Low,39000,10000, 36 months,INDIVIDUAL,debt_consolidation,12.42,B,334.16,ulster,Good Loan
2011,1,12,2.0,RENT,Low,51400,10000, 36 months,INDIVIDUAL,credit_card,10.65,B,325.74,munster,Good Loan
2011,1,12,1.0,MORTGAGE,Low,33000,7100, 36 months,INDIVIDUAL,debt_consolidation,16.77,D,252.33,munster,Good Loan
2011,1,12,0.5,MORTGAGE,Low,30000,13000, 60 months,INDIVIDUAL,debt_consolidation,12.69,B,293.74,Northern-Irl,Good Loan
2011,1,12,6.0,RENT,Low,40000,17500, 60 months,INDIVIDUAL,small_business,17.27,D,223.74,ulster,Good Loan
2011,1,12,0.5,RENT,Low,50000,17675, 60 months,INDIVIDUAL,debt_consolidation,14.65,C,417.25,cannught,Good Loan
2011,1,12,0.5,RENT,Low,62000,8000, 36 months,INDIVIDUAL,debt_consolidation,16.77,D,284.31,leinster,Good Loan
2011,1,12,7.0,MORTGAGE,Low,55000,3500, 36 months,INDIVIDUAL,debt_consolidation,10.65,B,114.01,cannught,Good Loan
2011,1,12,4.0,RENT,Low,44544,16425, 36 months,INDIVIDUAL,debt_consolidation,14.27,C,563.53,ulster,Good Loan
2011,1,12,2.0,OWN,Low,61000,15000, 36 months,INDIVIDUAL,credit_card,14.65,C,517.42,leinster,Good Loan
2011,1,12,5.0,MORTGAGE,Low,44000,20975, 60 months,INDIVIDUAL,credit_card,17.58,D,341.63,leinster,Good Loan
2011,1,12,1.0,RENT,Low,33600,3000, 36 months,INDIVIDUAL,debt_consolidation,13.49,C,101.8,leinster,Good Loan
2011,1,12,3.0,RENT,Low,50000,12000, 36 months,INDIVIDUAL,credit_card,16.77,D,426.47,Northern-Irl,Good Loan
2011,1,12,0.5,OWN,Medium,150000,14400, 36 months,INDIVIDUAL,debt_consolidation,8.9,A,457.25,Northern-Irl,Good Loan
2011,1,12,10.0,RENT,Low,90000,12000, 36 months,INDIVIDUAL,debt_consolidation,14.65,C,413.94,Northern-Irl,Good Loan
2011,1,12,10.0,MORTGAGE,Low,48000,11000, 36 months,INDIVIDUAL,debt_consolidation,13.49,C,373.24,munster,Good Loan
2011,1,12,0.5,RENT,Low,75000,7250, 60 months,INDIVIDUAL,debt_consolidation,21.67,F,197.51,ulster,Good Loan
2011,1,12,1.0,MORTGAGE,Low,52000,15000, 36 months,INDIVIDUAL,small_business,7.9,A,469.36,munster,Good Loan
2011,1,12,10.0,MORTGAGE,Low,65000,18000, 60 months,INDIVIDUAL,debt_consolidation,19.91,E,475.99,leinster,Good Loan
2011,1,12,3.0,MORTGAGE,Medium,150000,35000, 60 months,INDIVIDUAL,home_improvement,17.27,D,551.84,Northern-Irl,Good Loan
2011,1,12,2.0,RENT,Low,68000,10000, 36 months,INDIVIDUAL,credit_card,14.27,C,343.09,Northern-Irl,Good Loan
2011,1,12,6.0,RENT,Low,42000,11800, 36 months,INDIVIDUAL,credit_card,12.69,B,395.83,Northern-Irl,Good Loan
2011,1,12,4.0,RENT,Low,53000,4500, 36 months,INDIVIDUAL,major_purchase,6.03,A,136.96,ulster,Good Loan
2011,1,12,10.0,RENT,Low,35000,7000, 36 months,INDIVIDUAL,credit_card,12.69,B,234.82,ulster,Good Loan
2011,1,12,2.0,RENT,Low,60000,9200, 36 months,INDIVIDUAL,debt_consolidation,12.42,B,307.43,ulster,Good Loan
2011,1,12,4.0,RENT,Low,28000,14000, 60 months,INDIVIDUAL,other,17.27,D,349.98,ulster,Good Loan
2011,1,12,0.5,MORTGAGE,Low,42000,4500, 60 months,INDIVIDUAL,car,10.65,B,97.06,munster,Good Loan
2011,1,12,9.0,RENT,Low,88365,12000, 36 months,INDIVIDUAL,debt_consolidation,16.29,D,423.61,munster,Good Loan
2011,1,12,4.0,RENT,Low,72000,12000, 36 months,INDIVIDUAL,debt_consolidation,13.49,C,407.17,ulster,Good Loan
2011,1,12,0.5,RENT,Low,62000,12000, 36 months,INDIVIDUAL,credit_card,10.65,B,390.88,munster,Good Loan
2011,1,12,3.0,MORTGAGE,Low,43680,7000, 36 months,INDIVIDUAL,credit_card,10.65,B,228.02,cannught,Good Loan
2011,1,12,3.0,RENT,Medium,120000,8200, 60 months,INDIVIDUAL,debt_consolidation,19.42,E,214.62,Northern-Irl,Good Loan
2011,1,12,10.0,RENT,Low,66000,10500, 36 months,INDIVIDUAL,medical,12.69,B,352.23,ulster,Good Loan
2011,1,12,4.0,OWN,Low,39120,7000, 36 months,INDIVIDUAL,debt_consolidation,11.71,B,231.54,leinster,Good Loan
2011,1,12,6.0,RENT,Low,85000,15300, 60 months,INDIVIDUAL,credit_card,22.06,F,423.1,leinster,Good Loan
2011,1,12,4.0,MORTGAGE,Low,47800,20000, 60 months,INDIVIDUAL,debt_consolidation,11.71,B,282.86,leinster,Good Loan
2011,1,12,10.0,MORTGAGE,Low,83000,3500, 36 months,INDIVIDUAL,car,6.03,A,106.53,cannught,Good Loan
2011,1,12,0.5,RENT,Low,81000,6000, 60 months,INDIVIDUAL,major_purchase,12.69,B,135.57,ulster,Good Loan
2011,1,12,7.0,RENT,Low,65000,16000, 60 months,INDIVIDUAL,debt_consolidation,17.58,D,402.65,cannught,Good Loan
2011,1,12,8.0,OWN,Low,28800,6000, 36 months,INDIVIDUAL,debt_consolidation,8.9,A,190.52,Northern-Irl,Good Loan
2011,1,12,6.0,RENT,Medium,135000,7200, 36 months,INDIVIDUAL,credit_card,9.91,B,232.02,Northern-Irl,Good Loan
2011,1,12,7.0,MORTGAGE,Low,50000,9500, 36 months,INDIVIDUAL,credit_card,8.9,A,301.66,munster,Good Loan
2011,1,12,10.0,RENT,Low,45000,24000, 36 months,INDIVIDUAL,debt_consolidation,10.65,B,781.76,ulster,Good Loan
2011,1,12,10.0,RENT,Low,80000,6000, 36 months,INDIVIDUAL,debt_consolidation,13.49,C,203.59,ulster,Good Loan
2011,1,12,5.0,RENT,Low,50000,6000, 36 months,INDIVIDUAL,debt_consolidation,13.49,C,203.59,munster,Good Loan
2011,1,12,10.0,MORTGAGE,Low,30000,2100, 36 months,INDIVIDUAL,vacation,12.42,B,70.18,leinster,Good Loan
2011,1,12,8.0,MORTGAGE,Medium,110000,5500, 36 months,INDIVIDUAL,small_business,6.62,A,168.88,Northern-Irl,Good Loan
2011,1,12,8.0,OWN,Low,45608,11000, 36 months,INDIVIDUAL,debt_consolidation,6.62,A,337.75,leinster,Good Loan
2011,1,12,3.0,MORTGAGE,Medium,120000,26800, 60 months,INDIVIDUAL,debt_consolidation,20.89,F,723.38,leinster,Good Loan
2011,1,12,5.0,MORTGAGE,Low,35000,8000, 36 months,INDIVIDUAL,debt_consolidation,12.69,B,268.36,cannught,Good Loan
2011,1,12,9.0,MORTGAGE,Low,35000,8000, 36 months,INDIVIDUAL,credit_card,11.71,B,264.61,ulster,Good Loan
2011,1,12,6.0,RENT,Low,24000,10000, 36 months,INDIVIDUAL,debt_consolidation,8.9,A,317.54,ulster,Good Loan
2011,1,12,2.0,MORTGAGE,Medium,126000,12000, 36 months,INDIVIDUAL,debt_consolidation,11.71,B,396.92,cannught,Good Loan
2011,1,12,1.0,RENT,Low,43000,10000, 36 months,INDIVIDUAL,debt_consolidation,7.9,A,312.91,ulster,Good Loan
2011,1,12,1.0,RENT,Low,50000,12000, 36 months,INDIVIDUAL,debt_consolidation,9.91,B,386.7,ulster,Good Loan
2011,1,12,3.0,RENT,Low,31200,10000, 36 months,INDIVIDUAL,debt_consolidation,9.91,B,322.25,Northern-Irl,Good Loan
2011,1,12,4.0,RENT,Low,66000,13650, 36 months,INDIVIDUAL,debt_consolidation,12.42,B,456.12,ulster,Good Loan
2011,1,12,10.0,RENT,Low,56964,18000, 36 months,INDIVIDUAL,debt_consolidation,7.9,A,563.23,ulster,Good Loan
2011,1,12,7.0,RENT,Low,49500,2500, 36 months,INDIVIDUAL,debt_consolidation,14.27,C,85.78,leinster,Good Loan
2011,1,12,10.0,RENT,Low,70000,21000, 60 months,INDIVIDUAL,credit_card,20.3,E,559.89,ulster,Good Loan
2011,1,12,6.0,MORTGAGE,Medium,125000,35000, 36 months,INDIVIDUAL,debt_consolidation,8.9,A,1111.37,ulster,Good Loan
2011,1,12,3.0,RENT,Low,33000,10000, 36 months,INDIVIDUAL,credit_card,7.51,A,311.11,Northern-Irl,Good Loan
2011,1,12,0.5,RENT,Low,30000,7000, 36 months,INDIVIDUAL,credit_card,12.69,B,234.82,leinster,Good Loan
2011,1,12,5.0,MORTGAGE,Low,23000,10625, 36 months,INDIVIDUAL,medical,7.51,A,330.56,ulster,Good Loan
2011,1,12,2.0,RENT,Low,24000,5000, 36 months,INDIVIDUAL,debt_consolidation,14.65,C,172.48,Northern-Irl,Good Loan
2011,1,12,10.0,RENT,Low,62000,8850, 36 months,INDIVIDUAL,credit_card,6.62,A,271.73,Northern-Irl,Good Loan
2011,1,12,4.0,RENT,Low,44000,6375, 36 months,INDIVIDUAL,debt_consolidation,7.51,A,198.34,leinster,Good Loan
2011,1,12,1.0,RENT,Low,90000,6000, 36 months,INDIVIDUAL,credit_card,11.71,B,198.46,Northern-Irl,Good Loan
2011,1,12,2.0,MORTGAGE,Low,56000,10000, 60 months,INDIVIDUAL,debt_consolidation,12.69,B,225.95,ulster,Good Loan
2011,1,12,5.0,MORTGAGE,Low,26500,6200, 36 months,INDIVIDUAL,small_business,6.03,A,188.71,leinster,Good Loan
2011,1,12,1.0,RENT,Low,54000,15000, 36 months,INDIVIDUAL,debt_consolidation,18.64,E,547.12,leinster,Good Loan
2011,1,12,2.0,RENT,Low,53000,4200, 36 months,INDIVIDUAL,other,11.71,B,138.92,Northern-Irl,Good Loan
2011,1,12,4.0,RENT,Low,52800,14000, 36 months,INDIVIDUAL,debt_consolidation,14.27,C,480.33,ulster,Good Loan
2011,1,12,1.0,MORTGAGE,Low,38000,8875, 36 months,INDIVIDUAL,debt_consolidation,7.51,A,276.11,leinster,Good Loan
2011,1,12,7.0,RENT,Low,38000,13500, 36 months,INDIVIDUAL,debt_consolidation,9.91,B,435.04,ulster,Good Loan
2011,1,12,4.0,RENT,Low,55000,16000, 60 months,INDIVIDUAL,debt_consolidation,19.91,E,423.11,ulster,Good Loan
2011,1,12,8.0,MORTGAGE,Low,60000,21600, 60 months,INDIVIDUAL,debt_consolidation,19.42,E,565.32,leinster,Good Loan
2011,1,12,6.0,MORTGAGE,Low,87000,6000, 36 months,INDIVIDUAL,home_improvement,10.65,B,195.44,Northern-Irl,Good Loan
2011,1,12,5.0,OWN,Low,25000,8450, 60 months,INDIVIDUAL,debt_consolidation,16.77,D,208.97,cannught,Good Loan
2011,1,12,1.0,RENT,Low,82000,20000, 60 months,INDIVIDUAL,credit_card,13.49,C,460.1,cannught,Good Loan
2011,1,12,5.0,MORTGAGE,Low,80000,12000, 36 months,INDIVIDUAL,credit_card,16.29,D,423.61,leinster,Good Loan
2011,1,12,5.0,RENT,Low,48000,7200, 36 months,INDIVIDUAL,major_purchase,12.42,B,240.59,cannught,Good Loan
2011,1,12,0.5,RENT,Low,57000,12000, 36 months,INDIVIDUAL,debt_consolidation,14.27,C,411.71,ulster,Good Loan
2011,1,12,2.0,RENT,Low,25000,8500, 36 months,INDIVIDUAL,credit_card,6.03,A,258.71,Northern-Irl,Good Loan
2011,1,12,2.0,RENT,Low,34000,8000, 36 months,INDIVIDUAL,credit_card,9.91,B,257.8,Northern-Irl,Good Loan
2011,1,12,10.0,RENT,Low,40000,8000, 36 months,INDIVIDUAL,credit_card,12.42,B,267.33,ulster,Good Loan
2011,1,12,10.0,RENT,Low,42656,16000, 60 months,INDIVIDUAL,debt_consolidation,15.27,C,382.92,leinster,Good Loan
2011,1,12,2.0,MORTGAGE,Low,44400,15000, 36 months,INDIVIDUAL,house,17.27,D,536.81,leinster,Good Loan
2011,1,12,2.0,OWN,Low,30000,10000, 36 months,INDIVIDUAL,debt_consolidation,9.91,B,322.25,Northern-Irl,Good Loan
2011,1,12,5.0,MORTGAGE,Low,70000,10000, 36 months,INDIVIDUAL,credit_card,6.62,A,307.04,Northern-Irl,Good Loan
2011,1,12,3.0,RENT,Low,28000,8000, 36 months,INDIVIDUAL,car,14.65,C,275.96,ulster,Good Loan
2011,1,12,2.0,MORTGAGE,Low,50000,22000, 36 months,INDIVIDUAL,debt_consolidation,9.91,B,708.95,cannught,Good Loan
2011,1,12,10.0,MORTGAGE,Low,94800,6000, 36 months,INDIVIDUAL,car,14.27,C,205.86,munster,Good Loan
2011,1,12,10.0,OWN,Low,40000,16000, 60 months,INDIVIDUAL,debt_consolidation,9.91,B,339.25,leinster,Good Loan
2011,1,12,2.0,MORTGAGE,Low,36000,13500, 36 months,INDIVIDUAL,credit_card,9.91,B,435.04,leinster,Good Loan
2011,1,12,2.0,RENT,High,225000,25000, 36 months,INDIVIDUAL,debt_consolidation,12.42,B,835.39,Northern-Irl,Good Loan
2011,1,12,2.0,RENT,Low,45900,10000, 36 months,INDIVIDUAL,small_business,13.49,C,339.31,ulster,Good Loan
2011,1,12,4.0,RENT,Low,27200,2500, 36 months,INDIVIDUAL,debt_consolidation,13.49,C,84.83,ulster,Good Loan
2011,1,12,1.0,RENT,Low,42000,7325, 36 months,INDIVIDUAL,debt_consolidation,12.69,B,245.72,leinster,Good Loan
2011,1,12,5.0,RENT,Medium,135000,4000, 36 months,INDIVIDUAL,credit_card,12.42,B,133.67,Northern-Irl,Good Loan
2011,1,12,10.0,RENT,Low,65000,9600, 36 months,INDIVIDUAL,debt_consolidation,12.42,B,320.79,Northern-Irl,Good Loan
2011,1,12,3.0,RENT,Low,30000,14000, 36 months,INDIVIDUAL,credit_card,10.65,B,456.03,Northern-Irl,Good Loan
2011,1,12,10.0,RENT,Low,43000,13350, 36 months,INDIVIDUAL,debt_consolidation,12.42,B,446.1,ulster,Good Loan
2011,1,12,10.0,MORTGAGE,Medium,129000,11000, 60 months,INDIVIDUAL,debt_consolidation,13.49,C,253.06,ulster,Good Loan
2011,1,12,2.0,MORTGAGE,Medium,168000,35000, 36 months,INDIVIDUAL,debt_consolidation,10.65,B,1140.07,munster,Good Loan
2011,1,12,9.0,MORTGAGE,Low,74000,9000, 36 months,INDIVIDUAL,credit_card,10.65,B,293.16,cannught,Good Loan
2011,1,12,7.0,MORTGAGE,Low,52000,22475, 60 months,INDIVIDUAL,debt_consolidation,15.27,C,537.87,Northern-Irl,Good Loan
2011,1,12,5.0,RENT,Low,71000,13500, 36 months,INDIVIDUAL,debt_consolidation,12.69,B,452.86,leinster,Good Loan
2011,1,12,10.0,RENT,Low,75000,24000, 36 months,INDIVIDUAL,debt_consolidation,12.69,B,805.08,ulster,Good Loan
2011,1,12,5.0,RENT,Low,60000,12000, 36 months,INDIVIDUAL,credit_card,10.65,B,390.88,ulster,Good Loan
2011,1,12,5.0,RENT,Low,87996,8400, 60 months,INDIVIDUAL,major_purchase,16.77,D,207.73,Northern-Irl,Good Loan
2011,1,12,5.0,MORTGAGE,Medium,140000,28000, 60 months,INDIVIDUAL,home_improvement,17.58,D,704.64,leinster,Good Loan
2011,1,12,10.0,RENT,Low,66000,14000, 36 months,INDIVIDUAL,debt_consolidation,6.62,A,429.86,leinster,Good Loan
2011,1,12,10.0,MORTGAGE,Low,100000,25000, 36 months,INDIVIDUAL,debt_consolidation,11.71,B,826.9,Northern-Irl,Good Loan
2011,1,12,5.0,RENT,Low,50000,9000, 36 months,INDIVIDUAL,debt_consolidation,12.69,B,301.91,Northern-Irl,Good Loan
2011,1,12,4.0,RENT,Low,35000,13250, 36 months,INDIVIDUAL,debt_consolidation,10.65,B,431.6,cannught,Good Loan
2011,1,12,6.0,RENT,Low,75000,20000, 36 months,INDIVIDUAL,debt_consolidation,13.49,C,678.61,ulster,Good Loan
2011,1,12,5.0,RENT,Low,71000,3000, 36 months,INDIVIDUAL,medical,14.65,C,103.49,cannught,Good Loan
2011,1,12,10.0,MORTGAGE,Low,48000,7350, 36 months,INDIVIDUAL,debt_consolidation,10.65,B,239.42,leinster,Good Loan
2011,1,12,5.0,RENT,Low,36000,11500, 36 months,INDIVIDUAL,debt_consolidation,15.27,C,400.18,leinster,Good Loan
2011,1,12,2.0,RENT,Low,60000,12000, 36 months,INDIVIDUAL,debt_consolidation,9.91,B,386.7,ulster,Good Loan
2011,1,12,3.0,RENT,Low,34000,6000, 36 months,INDIVIDUAL,credit_card,8.9,A,190.52,cannught,Good Loan
2011,1,12,10.0,MORTGAGE,Low,44200,11500, 36 months,INDIVIDUAL,credit_card,15.27,C,400.18,ulster,Good Loan
2011,1,12,7.0,MORTGAGE,Low,82000,7000, 36 months,INDIVIDUAL,debt_consolidation,12.42,B,233.91,Northern-Irl,Good Loan
2011,1,12,6.0,MORTGAGE,Low,83000,29500, 60 months,INDIVIDUAL,debt_consolidation,20.3,E,786.51,munster,Good Loan
2011,1,12,2.0,RENT,Low,41000,2000, 36 months,INDIVIDUAL,moving,15.27,C,69.6,munster,Good Loan
2011,1,12,0.5,MORTGAGE,Low,36000,11625, 36 months,INDIVIDUAL,credit_card,13.49,C,394.45,cannught,Good Loan
2011,1,12,1.0,RENT,Low,30000,5300, 36 months,INDIVIDUAL,credit_card,15.27,C,184.43,Northern-Irl,Good Loan
2011,1,12,0.5,RENT,Low,40000,8200, 36 months,INDIVIDUAL,home_improvement,6.62,A,251.77,Northern-Irl,Good Loan
2011,1,12,9.0,MORTGAGE,Medium,105000,12000, 36 months,INDIVIDUAL,credit_card,12.42,B,400.99,munster,Good Loan
2011,1,12,4.0,MORTGAGE,Low,45000,8650, 36 months,INDIVIDUAL,credit_card,14.27,C,296.78,leinster,Good Loan
2011,1,12,10.0,MORTGAGE,Medium,109000,21000, 60 months,INDIVIDUAL,debt_consolidation,17.27,D,294.98,Northern-Irl,Good Loan
2011,1,12,2.0,RENT,Low,50000,16000, 60 months,INDIVIDUAL,debt_consolidation,17.27,D,399.97,munster,Good Loan
2011,1,12,2.0,RENT,Low,83000,12000, 36 months,INDIVIDUAL,debt_consolidation,12.42,B,400.99,ulster,Good Loan
2011,1,12,0.5,OWN,Low,25000,7400, 36 months,INDIVIDUAL,debt_consolidation,13.49,C,251.09,munster,Good Loan
2011,1,12,10.0,MORTGAGE,Low,60000,14400, 36 months,INDIVIDUAL,debt_consolidation,13.49,C,488.6,leinster,Good Loan
2011,1,12,7.0,MORTGAGE,Medium,120000,24250, 60 months,INDIVIDUAL,debt_consolidation,23.91,G,519.76,munster,Good Loan
2011,1,12,0.5,RENT,Low,65000,4000, 36 months,INDIVIDUAL,major_purchase,7.51,A,124.45,ulster,Good Loan
2011,1,12,10.0,MORTGAGE,Medium,144000,1500, 36 months,INDIVIDUAL,debt_consolidation,17.27,D,53.69,ulster,Good Loan
2011,1,12,2.0,RENT,Low,75000,19600, 36 months,INDIVIDUAL,credit_card,12.42,B,654.94,Northern-Irl,Good Loan
2011,1,12,7.0,MORTGAGE,Low,29000,2500, 36 months,INDIVIDUAL,debt_consolidation,11.71,B,82.69,munster,Good Loan
2011,1,12,5.0,RENT,Low,45000,10000, 36 months,INDIVIDUAL,credit_card,6.62,A,307.04,cannught,Good Loan
2011,1,12,5.0,MORTGAGE,Low,55200,4225, 36 months,INDIVIDUAL,other,12.42,B,141.18,ulster,Good Loan
2011,1,12,7.0,MORTGAGE,Low,61440,3500, 36 months,INDIVIDUAL,vacation,7.9,A,109.52,ulster,Good Loan
2011,1,12,10.0,MORTGAGE,Low,56000,12000, 36 months,INDIVIDUAL,debt_consolidation,6.62,A,368.45,leinster,Good Loan
2011,1,12,0.5,RENT,Low,47000,16500, 36 months,INDIVIDUAL,debt_consolidation,8.9,A,523.93,cannught,Good Loan
2011,1,12,0.5,RENT,Low,55000,22000, 60 months,INDIVIDUAL,debt_consolidation,21.67,F,603.5,ulster,Good Loan
2011,1,12,1.0,RENT,Low,71000,12000, 36 months,INDIVIDUAL,credit_card,14.65,C,413.94,cannught,Good Loan
2011,1,12,10.0,RENT,Low,50000,15600, 60 months,INDIVIDUAL,vacation,12.69,B,352.48,Northern-Irl,Good Loan
2011,1,12,8.0,RENT,Medium,135000,10800, 36 months,INDIVIDUAL,credit_card,12.42,B,360.89,ulster,Good Loan
2011,1,12,10.0,MORTGAGE,Low,63000,14000, 36 months,INDIVIDUAL,credit_card,12.42,B,467.82,leinster,Good Loan
2011,1,12,4.0,MORTGAGE,Low,44000,18825, 60 months,INDIVIDUAL,debt_consolidation,17.58,D,473.75,Northern-Irl,Good Loan
2011,1,12,5.0,MORTGAGE,Low,50000,6000, 36 months,INDIVIDUAL,debt_consolidation,13.49,C,203.59,munster,Good Loan
2011,1,12,5.0,RENT,Low,80000,12000, 36 months,INDIVIDUAL,debt_consolidation,9.91,B,386.7,munster,Good Loan
2011,1,12,4.0,RENT,Low,45000,10000, 36 months,INDIVIDUAL,debt_consolidation,12.42,B,334.16,ulster,Good Loan
2011,1,12,2.0,RENT,Low,78000,8000, 36 months,INDIVIDUAL,vacation,7.9,A,250.33,Northern-Irl,Good Loan
2011,1,12,1.0,RENT,Low,33000,14125, 36 months,INDIVIDUAL,debt_consolidation,9.91,B,455.18,ulster,Good Loan
2011,1,12,5.0,RENT,Low,62800,14000, 36 months,INDIVIDUAL,debt_consolidation,12.69,B,469.63,ulster,Good Loan
2011,1,12,3.0,RENT,Low,26400,13200, 60 months,INDIVIDUAL,small_business,17.27,D,224.36,munster,Good Loan
2011,1,12,10.0,MORTGAGE,Low,80000,4000, 36 months,INDIVIDUAL,vacation,19.03,E,146.69,leinster,Good Loan
2011,1,12,10.0,MORTGAGE,Low,65000,10500, 36 months,INDIVIDUAL,debt_consolidation,6.03,A,319.58,munster,Good Loan
